Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",3.9 out of 5 stars,625 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,180.,,,https://m.media-amazon.com/images/I/61uAwNHHgaL._AC_SX679_.jpg
"DOOGEE Blade 20 Ultra Rugged Phone Unlocked,32GB+512GB,10300mAh Large Battery Rugged Smartphone with 1.54""IPS Rear Display,6.6""HD+90Hz Android 14,50MP+8MP,IP68/IP69K Waterproof Phones,Face ID/NFC/OTG",4.3 out of 5 stars,38 Reviews,Cell Phones & Accessories,Cell Phones,DOOGEE,259.,-28%,Amazon,https://m.media-amazon.com/images/I/81U9aWMlLML._AC_SX679_.jpg
"SAMSUNG Galaxy S25+ Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, Navy (Renewed)",4.2 out of 5 stars,29 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.,,,https://m.media-amazon.com/images/I/61YvMOsT47L._AC_SX679_.jpg
"SAMSUNG Galaxy S24 Ultra 5G, US Version, 512GB, Titanium Black - Unlocked (Renewed)",4.2 out of 5 stars,625 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,"1,419.",,,https://m.media-amazon.com/images/I/71WcjsOVOmL._AC_SX679_.jpg
Samsung Galaxy S23 5G Factory Unlocked 128GB - Phantom Black (Renewed),4.1 out of 5 stars,578 Reviews,Cell Phones & Accessories,Cell Phones,Samsung,239.,-16%,,https://m.media-amazon.com/images/I/51ngAkKqflL._AC_SX679_.jpg
"SAMSUNG Galaxy S23+ Plus 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",4.2 out of 5 stars,649 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,329.,-28%,,https://m.media-amazon.com/images/I/51-PdNy2RqL._AC_SX569_.jpg
BLU F5| 5G | 2024 | All-Day Battery | Unlocked | 6.6” HD+ Display | 128GB | Dual 50MP | US Version | Green,3.9 out of 5 stars,112 Reviews,Cell Phones & Accessories,Cell Phones,BLU,99.,-15%,Amazon,
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 512GB, Phantom Black - AT&T (Renewed)",3.6 out of 5 stars,26 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,99.,,,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_SX679_.jpg
"REDMAGIC 10 Air Smartphone 5G, 120Hz Gaming Phone, 6.8"" FHD+, Under Display Camera, 6000mAh Android Phone,16+512GB, 80W Charger, Dual-Sim, Unlocked Phone Black",4.2 out of 5 stars,15 Reviews,Cell Phones & Accessories,Cell Phones,REDMAGIC,699.,,Amazon,https://m.media-amazon.com/images/I/61S6wApz0ML._AC_SX522_.jpg
"Xiaomi 14T Pro Ai 5G (512GB+12GB) Nfc Global Unlocked Worldwide (Tmobile Mint Tello Global) 50MP Triple Pro Leica Camera 6.67"" 144Mhz (Titan Blue)",4.5 out of 5 stars,114 Reviews,Cell Phones & Accessories,Cell Phones,XIAOMI,624.,,Amazon,https://m.media-amazon.com/images/I/71PeWsSg4oL._AC_SX522_.jpg
"OnePlus 13,12GB RAM + 256GB Storage, Dual-SIM, Unlocked Android Smartphone, Snapdragon 8 Elite, 80W SUPERVOOC Fast Charging & 50W AIRVOOC Charging, Advanced Hasselblad Camera, 2025, Black Eclipse",4.6 out of 5 stars,113 Reviews,Cell Phones & Accessories,Cell Phones,OnePlus,787.,-12%,Amazon.com,https://m.media-amazon.com/images/I/71gXK0cwIjL._AC_SX679_.jpg
"Samsung Galaxy S22 Ultra 5G Factory Unlocked Android Smartphone, 256GB, 8K Camera, 120Hz Refresh Rate, S Pen, Long Battery Life, Fast Processor, US Version, Phantom Black (Renewed)",4.0 out of 5 stars,207 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.,,,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_SX679_.jpg
"Google Pixel 9 Pro XL - Unlocked Android Smartphone with Gemini, Triple Rear Camera System, 24-Hour Battery, and 6.8"" Super Actua Display - Obsidian - 128 GB",4.4 out of 5 stars,807 Reviews,Cell Phones & Accessories,Cell Phones,Google,497.,,,
Google Pixel 8 Pro - Unlocked Android Smartphone with Telephoto Lens and Super Actua Display - 24-Hour Battery - Obsidian - 256 GB (Renewed),4.0 out of 5 stars,799 Reviews,Cell Phones & Accessories,Cell Phones,Google,99.,,,https://m.media-amazon.com/images/I/61aRO4jJM0L._AC_SX679_.jpg
"OUKITEL WP33 PRO Rugged Smartphone 5G - 22000mAh(33W), 24GB+256GB, 6.6"" FHD+ Cell Phones, Triple 64MP Camera, Dual 5G SIM Android 13 Phone Unlocked, 18W OTG/136dB Loudest Speaker, NFC/GPS/IP68/69K/OTG",4.2 out of 5 stars,434 Reviews,Cell Phones & Accessories,Cell Phones,OUKITEL,359.,-10%,Amazon,https://m.media-amazon.com/images/I/818+oZZHXiL._AC_SX679_.jpg
"SAMSUNG Galaxy S23 Ultra 5G, US Version, 512GB, Lavender - Unlocked (Renewed)",4.2 out of 5 stars,"1,029 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,549.,,,https://m.media-amazon.com/images/I/517mLWWU8XL._AC_SX679_.jpg
